UP! Квартал «Новое Тушино»
UP-квартал «Римский»
UP-квартал «Скандинавский»
UP-квартал «Сколковский»
Ансамбль клубных резиденций A-Residence
Апарт-квартал Loft Post
Апарт-комплекс Loft Park
Апарт-комплекс Nord
Апарт-комплекс Re:Form
Апарт-комплекс VIVALDI
Апарт-комплекс «Cмольная, 44»
Апарт-комплекс «Большевик»
Апарт-комплекс «Гороховский 12»
Апарт-комплекс «Клевер Лэнд»
Апарт-комплекс «Лаврский»
Апарт-комплекс «Нахимовский 21»
Апарт-комплекс «Резиденции Замоскворечье»
Апарт-комплекс «Софийский»
Апарт-комплекс «Спутник»
Апарт-отель Just M
Апарт-отель YE'S
Апарт-отель на ул. Зубовская, д. 7
Апарт-отель «Восток»
Апарт-отель «Зеленый мыс»
Апартаменты Optima Family Park
Башня апартаментов «Красный Кит»
Город-парк «Переделкино Ближнее»
Город-спутник «Новое Ступино»
Дом на Пролетарском проспекте
Дом на Профсоюзной, 69
Дом на ул. Лечебная
Дом на ул. Маршала Бирюзова
ЖК «Мирный»
ЖК «Скандинавия»
ЖК Agalarov Estat, «Агаларов Эстейт»
ЖК Agalarov House, «Агаларов Хаус»
ЖК Amorini Dorati, «Дом Золотых Амуров»
ЖК ApartVille Fitness and Spa Resort
ЖК Apila
ЖК Arco di Sole
ЖК Art
ЖК Art Residence
ЖК Atlantic Apartments, «Атлантик Апартментс»
ЖК Barcodeloft
ЖК Barkli Gallery
ЖК Barkli Park («Баркли-Парк»)
ЖК Barkli Plaza («Баркли Плаза»)
ЖК Barkli Residence, «Баркли Резиденс»
ЖК Barkli Virgin House
ЖК Barrin House
ЖК Bernikov («Берников»)
ЖК Bravo
ЖК Bruce Boutique Apartments, «Дом Брюса»
ЖК Capital Towers
ЖК Chekhov
ЖК City Park
ЖК Clerkenwell House
ЖК Cloud Nine
ЖК Club 56
ЖК Copper House
ЖК Course House
ЖК Crystal Istra, «Кристалл Истра»
ЖК Depre loft, «Депре лофт»
ЖК East Gate («Восточные ворота»)
ЖК EgoDom
ЖК Etude Family Club
ЖК Flight City
ЖК Friday Village
ЖК Golden Mile private residences, «Золотая Миля приват резиденс»
ЖК Green City
ЖК Green Fort (Грин Форт)
ЖК Green Hills
ЖК Green House
ЖК Green Light
ЖК Green Park
ЖК Green Plaza
ЖК Hortus Harmonia, «Хортус Гармония»
ЖК Kaskad park
ЖК Klein House
ЖК Knightsbridge Private park
ЖК Komsomolsky De Luxe
ЖК La Defence
ЖК La Promenade
ЖК Lake House
ЖК Level Barvikha Residence
ЖК Loft Factory
ЖК Loft Garden, «Лофт Гарден»
ЖК Loft River («Лофт ривер»)
ЖК Loft Studio 8
ЖК Loft time
ЖК LOFTEC
ЖК M-House
ЖК Manhattan House, «Манхэттен Хаус»
ЖК MONODOM
ЖК MOSS Apartments
ЖК Nabokov, «Дом в Курсовом переулке»
ЖК Novel House
ЖК NV/9 ARTKVARTAL
ЖК O2XYGEN
ЖК ONLY
ЖК Orange Wood
ЖК ORDYNKA
